c Instance Type h
c
n 30
c w	 v1	 v2
i 520	 79 	 135 
i 205	 461 	 70 
i 573	 755 	 819 
i 158	 999 	 52 
i 890	 126 	 205 
i 55	 870 	 297
i 5	 923 	 73 
i 181	 163 	 594 
i 913	 819 	 392 
i 552	 579 	 359 
i 687	 100 	 453 
i 757	 304 	 531 
i 577	 877 	 292
i 629	 36 	 748 
i 833	 925 	 748 
i 831	 979 	 873 
i 903	 983 	 744 
i 497	 164 	 667 
i 889	 77 	 230
i 248	 629 	 650 
i 700	 317 	 229 
i 232	 75 	 329 
i 224	 651 	 633 
i 971	 280 	 511 
i 719	 114 	 546
i 211	 544 	 252
i 453	 224 	 755
i 252	 121 	 822
i 452	 452 	 478
i 4	 345 	 435 
c
c
W 12856
c end of file
